keyword,avg_monthly,competition,competition_index,top_bid_low,top_bid_high,source_group,mapped_page,intent,priority,occurrences,source_files
ao smith ro purifier,5000,High,96,1.23,43.75,brands,Water Heaters (L2),Commercial,High,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith water purifier,5000,High,96,1.23,43.75,brands,Water Heaters (L2),Commercial,High,1,seo/keyword-research/second-pass-brands/set-8.csv
tile showroom chennai,5000,Low,9,6.79,18.48,core,Tiles (L1),Commercial,High,1,seo/keyword-research/first-pass-core/set-1.csv
ao smith hot water,5000,High,99,0.75,16.6,brands,Water Heaters (L2),Commercial,High,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith water geyser,5000,High,99,0.75,16.6,brands,Water Heaters (L2),Commercial,High,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith water heater,5000,High,99,0.75,16.6,brands,Water Heaters (L2),Commercial,High,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith water heater company,5000,High,99,0.75,16.6,brands,Water Heaters (L2),Commercial,High,1,seo/keyword-research/second-pass-brands/set-8.csv
aosmith water heater,5000,High,99,0.75,16.6,brands,Water Heaters (L2),Commercial,High,1,seo/keyword-research/second-pass-brands/set-8.csv
rak ceramics chennai,500,Low,9,7.06,96.69,brands,Brand Keywords (to map by product relevance),Commercial,High,1,seo/keyword-research/second-pass-brands/set-2.csv
simpolo tiles chennai,500,Low,33,8.69,66.39,core,Tiles (L1),Commercial,High,2,seo/keyword-research/first-pass-core/set-1.csv | seo/keyword-research/first-pass-core/set-3.csv
a&o smith,500,Medium,56,1.0,57.67,brands,Unmapped - review,Commercial,Medium,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith,500,Medium,56,1.0,57.67,brands,Water Heaters (L2),Commercial,Medium,1,seo/keyword-research/second-pass-brands/set-8.csv
ao smith ao smith,500,Medium,56,1.0,57.67,brands,Water Heaters (L2),Commercial,Medium,1,seo/keyword-research/second-pass-brands/set-8.csv
aol smith,500,Medium,56,1.0,57.67,brands,Unmapped - review,Commercial,Medium,1,seo/keyword-research/second-pass-brands/set-8.csv
aosmith,500,Medium,56,1.0,57.67,brands,Unmapped - review,Commercial,Medium,1,seo/keyword-research/second-pass-brands/set-8.csv
bathroom fittings wholesale in chennai,500,High,93,6.22,51.31,core,Bathroom Fittings / Fixtures (L1),Commercial,High,1,seo/keyword-research/first-pass-core/set-7.csv
bath fittings chennai,500,High,99,7.03,45.45,core,Unmapped - review,Commercial,Medium,1,seo/keyword-research/first-pass-core/set-7.csv
bathroom accessories chennai,500,High,99,7.03,45.45,core,Unmapped - review,Commercial,Medium,1,seo/keyword-research/first-pass-core/set-7.csv
bathroom fittings chennai,500,High,99,7.03,45.45,core,Bathroom Fittings / Fixtures (L1),Commercial,Medium,1,seo/keyword-research/first-pass-core/set-7.csv
kag tiles showroom chennai,500,Low,16,5.52,44.5,core,Tiles (L1),Commercial,Medium,1,seo/keyword-research/first-pass-core/set-1.csv
johnson tiles chennai showroom,500,Medium,35,6.19,38.31,core,Tiles (L1),Commercial,Medium,1,seo/keyword-research/first-pass-core/set-1.csv
tile laying cost in chennai,500,Low,10,2.44,33.46,core,Tiles (L1),Commercial,Medium,1,seo/keyword-research/first-pass-core/set-1.csv
roff,500,High,83,0.75,32.05,brands,Brand Keywords (to map by product relevance),Commercial,Medium,1,seo/keyword-research/second-pass-brands/set-12.csv
parryware showroom in chennai,500,Low,20,3.46,29.76,core,Unmapped - review,Commercial,Medium,1,seo/keyword-research/first-pass-core/set-4.csv
western toilet price chennai,500,High,86,0.86,29.32,core,Toilets and Water Closets (L2),Commercial,Medium,1,seo/keyword-research/first-pass-core/set-5.csv
kag tiles chennai,500,Low,30,5.07,28.52,core,Tiles (L1),Commercial,Medium,1,seo/keyword-research/first-pass-core/set-1.csv
somany showroom in chennai,500,Low,23,6.49,27.24,core,Unmapped - review,Commercial,Medium,1,seo/keyword-research/first-pass-core/set-1.csv
somany tiles dealers in chennai,500,Low,23,6.49,27.24,core,Tiles (L1),Commercial,Medium,1,seo/keyword-research/first-pass-core/set-1.csv
somany tiles showroom chennai,500,Low,23,6.49,27.24,core,Tiles (L1),Commercial,Medium,1,seo/keyword-research/first-pass-core/set-1.csv
best tile shop in chennai,500,Low,31,7.91,23.02,core,Tiles (L1),Commercial,Medium,1,seo/keyword-research/first-pass-core/set-1.csv
kajaria ceramics chennai,500,Low,27,3.57,22.77,core,Unmapped - review,Commercial,Medium,2,seo/keyword-research/first-pass-core/set-1.csv | seo/keyword-research/first-pass-core/set-3.csv
kajaria tiles chennai,500,Low,27,3.57,22.77,core,Tiles (L1),Commercial,Medium,2,seo/keyword-research/first-pass-core/set-1.csv | seo/keyword-research/first-pass-core/set-3.csv
kitchen sink chennai,500,High,100,1.65,21.33,core,Sinks (L2),Commercial,Medium,1,seo/keyword-research/first-pass-core/set-10.csv
best tiles showroom in chennai,500,Low,18,7.81,20.98,core,Tiles (L1),Commercial,Medium,1,seo/keyword-research/first-pass-core/set-1.csv
athangudi tiles chennai,500,High,75,2.79,19.39,core,Tiles (L1),Commercial,Medium,1,seo/keyword-research/first-pass-core/set-1.csv
floor tiles chennai,500,Medium,62,5.77,18.25,core,Tiles (L1),Commercial,Medium,1,seo/keyword-research/first-pass-core/set-1.csv
tiles chennai,500,Medium,62,5.77,18.25,core,Tiles (L1),Commercial,Medium,1,seo/keyword-research/first-pass-core/set-1.csv
chennai tile shop,500,Medium,36,6.99,17.93,core,Tiles (L1),Commercial,Medium,1,seo/keyword-research/first-pass-core/set-1.csv
tiles shop in chennai,500,Medium,36,6.99,17.93,core,Tiles (L1),Commercial,Medium,1,seo/keyword-research/first-pass-core/set-1.csv
cost of tiles in chennai,500,High,85,1.27,16.52,core,Tiles (L1),Commercial,Medium,1,seo/keyword-research/first-pass-core/set-1.csv
