page_type,page,keyword,avg_monthly,competition,source_run,source_file,recommendation,reason
Home,Home,tile showroom chennai,5000,Low,1.0,DEDUPED_KEYWORDS_MASTER.csv,Keep,Relevant
Home,Home,athangudi tiles chennai,500,High,1.0,DEDUPED_KEYWORDS_MASTER.csv,Keep,Relevant
Home,Home,bathroom fittings chennai,500,High,1.0,DEDUPED_KEYWORDS_MASTER.csv,Keep,Relevant
Home,Home,cool roof tiles chennai,500,Low,1.0,DEDUPED_KEYWORDS_MASTER.csv,Keep,Relevant
Home,Home,floor tiles chennai,500,Medium,1.0,DEDUPED_KEYWORDS_MASTER.csv,Keep,Relevant
Home,Home,kag tiles chennai,500,Low,1.0,DEDUPED_KEYWORDS_MASTER.csv,Keep,Relevant
Home,Home,kitchen sink chennai,500,High,1.0,DEDUPED_KEYWORDS_MASTER.csv,Keep,Relevant
Home,Home,simpolo tiles chennai,500,Low,1.0,DEDUPED_KEYWORDS_MASTER.csv,Keep,Relevant
L1 Product,Tiles,tile showroom chennai,5000,Low,1.0,DEDUPED_KEYWORDS_MASTER.csv,Keep,Relevant
L1 Product,Tiles,athangudi tiles chennai,500,High,1.0,DEDUPED_KEYWORDS_MASTER.csv,Keep,Relevant
L1 Product,Tiles,best tile shop in chennai,500,Low,1.0,DEDUPED_KEYWORDS_MASTER.csv,Keep,Relevant
L1 Product,Tiles,best tiles showroom in chennai,500,Low,1.0,DEDUPED_KEYWORDS_MASTER.csv,Keep,Relevant
L1 Product,Tiles,chennai tile shop,500,Medium,1.0,DEDUPED_KEYWORDS_MASTER.csv,Keep,Relevant
L1 Product,Tiles,cool roof tiles chennai,500,Low,1.0,DEDUPED_KEYWORDS_MASTER.csv,Keep,Relevant
L1 Product,Tiles,cost of tiles in chennai,500,High,1.0,DEDUPED_KEYWORDS_MASTER.csv,Keep,Relevant
L1 Product,Tiles,floor tiles chennai,500,Medium,1.0,DEDUPED_KEYWORDS_MASTER.csv,Keep,Relevant
L1 Product,Tiles,johnson tiles chennai showroom,500,Medium,1.0,DEDUPED_KEYWORDS_MASTER.csv,Keep,Relevant
L1 Product,Tiles,kag tiles chennai,500,Low,1.0,DEDUPED_KEYWORDS_MASTER.csv,Keep,Relevant
L1 Product,Tiles,kag tiles showroom chennai,500,Low,1.0,DEDUPED_KEYWORDS_MASTER.csv,Keep,Relevant
L1 Product,Tiles,kag tiles showroom vanagaram,500,Low,1.0,DEDUPED_KEYWORDS_MASTER.csv,Keep,Relevant
L2 Product,Vitrified Tiles,2x2 vitrified tiles price in chennai,50,Low,1.0,DEDUPED_KEYWORDS_MASTER.csv,Keep,Relevant
L2 Product,Vitrified Tiles,agl double charge vitrified tiles price,50,Unknown,2.0,agl-wide.csv,Keep,Relevant
L2 Product,Vitrified Tiles,agl vitrified tiles price,50,Unknown,2.0,agl-wide.csv,Keep,Relevant
L2 Product,Vitrified Tiles,agl vitrified tiles price list,50,Unknown,2.0,agl-wide.csv,Keep,Relevant
L2 Product,Vitrified Tiles,cost of vitrified tiles in chennai,50,Medium,1.0,DEDUPED_KEYWORDS_MASTER.csv,Keep,Relevant
L2 Product,Vitrified Tiles,rak double charge vitrified tiles price,50,Low,2.0,rak-wide.csv,Keep,Relevant
L2 Product,Vitrified Tiles,rak vitrified tiles price,50,Unknown,2.0,rak-wide.csv,Keep,Relevant
L2 Product,Vitrified Tiles,rak vitrified tiles price list,50,Low,2.0,rak-wide.csv,Keep,Relevant
L2 Product,Vitrified Tiles,vitrified tiles chennai,50,Medium,1.0,DEDUPED_KEYWORDS_MASTER.csv,Keep,Relevant
L2 Product,Vitrified Tiles,vitrified tiles price chennai,50,Low,1.0,DEDUPED_KEYWORDS_MASTER.csv,Keep,Relevant
L2 Product,Vitrified Tiles,vitrified tiles rate in chennai,50,Low,1.0,DEDUPED_KEYWORDS_MASTER.csv,Keep,Relevant
L2 Product,Vitrified Tiles,agl double charge vitrified tiles,50,Unknown,2.0,agl-wide.csv,Maybe,Low and non-local signal
L2 Product,Ceramic Tiles,ceramic tiles chennai,50,Low,1.0,DEDUPED_KEYWORDS_MASTER.csv,Keep,Relevant
