page_type,page,secondary_keywords,count,high_volume_product_or_model_suggestions,hv_count,significantly_high_volume_specific_suggestions,significant_count,note
Home,Home,"athangudi tiles chennai, bathroom fittings chennai, cool roof tiles chennai, floor tiles chennai, kag tiles chennai, kitchen sink chennai, simpolo tiles chennai",7,,0,,0,Broad secondary + specific suggestions >= 50; significant flagged at >= 500
About,About,,0,,0,,0,Broad secondary + specific suggestions >= 50; significant flagged at >= 500
L1 Product,Tiles,"tile showroom chennai, athangudi tiles chennai, best tile shop in chennai, best tiles showroom in chennai, chennai tile shop, cool roof tiles chennai, cost of tiles in chennai, floor tiles chennai",8,johnson tiles chennai showroom (500),1,johnson tiles chennai showroom (500),1,Broad secondary + specific suggestions >= 50; significant flagged at >= 500
L2 Product,Vitrified Tiles,"2x2 vitrified tiles price in chennai, agl double charge vitrified tiles, agl double charge vitrified tiles price, agl vitrified tiles price, cost of vitrified tiles in chennai, rak double charge vitrified tiles price, rak vitrified tiles price, vitrified tiles price chennai",8,"agl double charge vitrified tiles (50), agl double charge vitrified tiles price (50), agl vitrified tiles price (50), agl vitrified tiles price list (50), rak double charge vitrified tiles price (50), rak vitrified tiles price (50), rak vitrified tiles price list (50)",7,,0,Broad secondary + specific suggestions >= 50; significant flagged at >= 500
L2 Product,Ceramic Tiles,"agl ceramic tiles, ceramic tiles dealers in chennai, ceramic tiles manufacturers in chennai, ceramic tiles price in chennai, rak ceramic tiles price, rk ceramic tiles",6,"agl ceramic tiles (50), ceramic tiles dealers in chennai (50), ceramic tiles manufacturers in chennai (50), ceramic tiles price in chennai (50), rak ceramic tiles price (50), rk ceramic tiles (50)",6,,0,Broad secondary + specific suggestions >= 50; significant flagged at >= 500
L2 Product,Floor Tiles,"2x2 floor tiles price in chennai, 3d floor tiles price in chennai, agl floor tiles price, bathroom floor tiles chennai, bathroom floor tiles price in chennai, best floor tiles in chennai, ceramic floor tiles price in chennai, cost of floor tiles in chennai",8,"agl floor tiles price (50), agl floor tiles price list (50), ceramic floor tiles price in chennai (50)",3,,0,Broad secondary + specific suggestions >= 50; significant flagged at >= 500
L2 Product,Wall Tiles,"agl bathroom wall tiles, agl kitchen wall tiles, agl wall tiles price, bathroom wall tiles price in chennai, exterior wall tiles chennai, foam wall tiles in chennai, kitchen wall tiles chennai, kitchen wall tiles design in chennai",8,"agl bathroom wall tiles (50), agl kitchen wall tiles (50), agl wall tiles price (50), rak wall tiles price list (50)",4,,0,Broad secondary + specific suggestions >= 50; significant flagged at >= 500
L1 Product,Sanitaryware & Bathroom Fittings,"bathroom fittings wholesale in chennai, bathroom fittings chennai parrys, bathroom fittings manufacturers in chennai, bathroom fittings showroom in chennai, best bathroom fittings in chennai, cera sanitaryware dealers in chennai, hindware sanitaryware chennai, hindware sanitaryware dealers in chennai",8,,0,,0,Broad secondary + specific suggestions >= 50; significant flagged at >= 500
L2 Product,Toilets and Water Closets,"cera western toilet price in chennai, grohe wall hung toilet price, grohe wc price, handicap toilet accessories near me, hindustan western toilet price in chennai, hindware automatic toilet price, hindware bathroom hindware indian toilet seat price, hindware english toilet seat price",8,"cera western toilet price in chennai (50), grohe wall hung toilet price (50), grohe wc price (50), hindware automatic toilet price (50), hindware bathroom hindware indian toilet seat price (50), hindware english toilet seat price (50), hindware floor mounted wc price (50), hindware italian collection toilet seat price (50), hindware one piece toilet price (50)",9,,0,Broad secondary + specific suggestions >= 50; significant flagged at >= 500
L2 Product,Urinals,"bathroom urinal price, hindware urinal basin price, hindware urinal pot price, hindware urinal price, jaquar urinal price, kerovit urinal price, ladies urinal hindware price, mens urinal price",8,"hindware urinal 60002 price (50), hindware urinal basin price (50), hindware urinal pot price (50), hindware urinal price (50), jaquar urinal price (50), ladies urinal hindware price (50), parryware flat back urinal price (50), urinal cera price (50)",8,,0,Broad secondary + specific suggestions >= 50; significant flagged at >= 500
L2 Product,Wash Basins,"designer wash basin chennai, designer wash basin in chennai, grohe wash basin price, hindware toilet basin price, hindware urinal basin price, parryware wash basin price in chennai, rak basin price, rak ceramics basin price",8,"grohe wash basin price (50), hindware toilet basin price (50), hindware urinal basin price (50), parryware wash basin price in chennai (50), rak ceramics wash basin price (50), rak wash basin price (50)",6,,0,Broad secondary + specific suggestions >= 50; significant flagged at >= 500
L2 Product,Taps & Faucets,"ao smith faucet, commercial lavatory faucet, franke sinks and faucets, grohe automatic faucet, grohe bathroom faucets, grohe bathroom sink faucets, grohe bathtub faucet, grohe concetto faucet",8,"ao smith faucet (50), franke sinks and faucets (50), grohe automatic faucet (50), grohe bathroom faucets (50), grohe bathroom sink faucets (50), grohe bathtub faucet (50), grohe concetto faucet (50), grohe eurosmart faucet (50), grohe faucets (50), grohe health faucet price (50), hindware toilet hand shower price (50)",11,,0,Broad secondary + specific suggestions >= 50; significant flagged at >= 500
